threshold,close,min_size,dice,pq,sq,rq
0.9,0,512,0.6349738615806613,0.37231833973948425,0.6107412617316956,0.5606747857828873
0.9,0,1024,0.5761602462771799,0.3148736469420521,0.5886376083140973,0.46899921024294894
0.9,1,0,0.6609319199640245,0.33014138349656164,0.6146994514242754,0.49911536294514286
0.9,1,128,0.6607718333001942,0.3759344358534148,0.6147772101299667,0.5683739698572278
0.9,1,256,0.6575308880940851,0.38684706286948156,0.6153282203106885,0.5847345558324867
0.9,1,512,0.6350620244497547,0.3723419309118688,0.61079599490058,0.5606747857828873
0.9,1,1024,0.576228678057303,0.3148666547989419,0.5886575459455207,0.46899921024294894
0.9,2,0,0.661093027962032,0.3306677060641789,0.6145668763858283,0.4999563610054671
0.9,2,128,0.6609378344820535,0.37641538631970883,0.6146445007295025,0.5691600658660932
0.9,2,256,0.6577049911774376,0.38651804272844464,0.6151787631472823,0.5843565157111753
0.9,2,512,0.6353564439352095,0.37268287300135433,0.6106953995382403,0.5612913070831187
0.9,2,1024,0.5763875918173379,0.3148783157829346,0.5887036000695938,0.46899921024294894
