epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
82,6605.64,1.13301,1.49477,1.03415,1.20761,0,0.62813,0.64759,0.64231,0.37451,0.64296,0.64867,0.6509,0.23968,1.33395,1.55895,1.19245,1.41424,0,0.0003962,0.0003962,0.0003962
83,6682.57,1.14475,1.49436,0.98822,1.21123,0,0.66287,0.62029,0.64498,0.37228,0.63381,0.6502,0.64989,0.24015,1.34515,1.57118,1.19489,1.42362,0,0.0003764,0.0003764,0.0003764
84,6759.36,1.14363,1.47712,0.99307,1.20936,0,0.65198,0.6502,0.65612,0.3872,0.65979,0.64629,0.6617,0.24839,1.3426,1.56803,1.15399,1.43224,0,0.0003566,0.0003566,0.0003566
85,6836.1,1.11945,1.50484,0.96744,1.19459,0,0.63658,0.63849,0.64691,0.37403,0.64721,0.64109,0.65688,0.24208,1.35156,1.55,1.20498,1.42917,0,0.0003368,0.0003368,0.0003368
86,6913.65,1.12012,1.4935,0.97508,1.1985,0,0.63127,0.6528,0.66001,0.38545,0.65534,0.62309,0.6669,0.25204,1.35438,1.56311,1.1898,1.43421,0,0.000317,0.000317,0.000317
87,6991.22,1.13481,1.48379,0.95987,1.19909,0,0.66786,0.62419,0.66834,0.38514,0.68642,0.63459,0.67443,0.24523,1.34055,1.55049,1.16286,1.42398,0,0.0002972,0.0002972,0.0002972
88,7068.4,1.12422,1.47623,0.98535,1.19237,0,0.65052,0.64239,0.65787,0.38437,0.66934,0.6528,0.67326,0.25017,1.36172,1.55323,1.17021,1.42922,0,0.0002774,0.0002774,0.0002774
89,7145.49,1.12141,1.47631,0.93346,1.19548,0,0.6602,0.6502,0.66295,0.3807,0.69228,0.64239,0.67417,0.2486,1.36442,1.54483,1.16014,1.4566,0,0.0002576,0.0002576,0.0002576
90,7222.57,1.12224,1.49133,0.96029,1.20837,0,0.65809,0.62809,0.66046,0.38264,0.67519,0.64369,0.67698,0.25013,1.34038,1.54774,1.16782,1.42063,0,0.0002378,0.0002378,0.0002378
91,7299.49,1.11503,1.42229,0.96533,1.2244,0,0.63389,0.6462,0.65931,0.38276,0.66577,0.62684,0.66542,0.24402,1.36179,1.55221,1.17855,1.43107,0,0.000218,0.000218,0.000218
92,7375.57,1.10075,1.42445,0.94562,1.21584,0,0.66562,0.62809,0.65932,0.38602,0.67493,0.64109,0.66394,0.24663,1.33746,1.54395,1.16404,1.42373,0,0.0001982,0.0001982,0.0001982
93,7451.63,1.09106,1.42593,0.91874,1.21249,0,0.64521,0.62679,0.64894,0.38063,0.67143,0.65105,0.6702,0.24345,1.35267,1.54776,1.17523,1.448,0,0.0001784,0.0001784,0.0001784
94,7527.59,1.07205,1.41559,0.90211,1.1968,0,0.64865,0.6593,0.66109,0.38106,0.66181,0.6697,0.67175,0.24697,1.36774,1.55003,1.15288,1.46265,0,0.0001586,0.0001586,0.0001586
95,7603.36,1.07944,1.40929,0.90253,1.20345,0,0.65532,0.6428,0.66575,0.38645,0.6736,0.64945,0.67551,0.24951,1.3591,1.56458,1.173,1.4366,0,0.0001388,0.0001388,0.0001388
96,7679.26,1.0574,1.40394,0.88495,1.19368,0,0.658,0.64369,0.66612,0.38914,0.67843,0.64889,0.6741,0.24746,1.36,1.56682,1.15268,1.44483,0,0.000119,0.000119,0.000119
97,7755.02,1.05605,1.42205,0.87918,1.19655,0,0.65673,0.64186,0.6712,0.38901,0.66471,0.64966,0.66777,0.25,1.35254,1.55858,1.16108,1.44322,0,9.92e-05,9.92e-05,9.92e-05
98,7831.45,1.05306,1.4041,0.85503,1.17564,0,0.60817,0.67616,0.65758,0.3845,0.67578,0.61638,0.6675,0.24669,1.35577,1.56794,1.15428,1.44716,0,7.94e-05,7.94e-05,7.94e-05
99,7907.53,1.04979,1.39978,0.87132,1.18147,0,0.63467,0.6528,0.66046,0.38924,0.68723,0.63146,0.67051,0.24666,1.35381,1.55916,1.14742,1.45264,0,5.96e-05,5.96e-05,5.96e-05
100,7983.39,1.05511,1.39799,0.85944,1.19773,0,0.66534,0.63719,0.66414,0.38606,0.67892,0.6502,0.67237,0.24754,1.35401,1.56141,1.14954,1.45217,0,3.98e-05,3.98e-05,3.98e-05
